Filename,Camera,Model,Detected_Diameter_mm,Status
cam1__YCA__44914__20260410_221325_076636.jpg,cam1,YCA,13.18,2
cam2__YCA__44914__20260410_221325_482941.jpg,cam2,YCA,12.94,2
cam2__YED__26374__20260410_221416_592518.jpg,cam2,YED,15.06,2
cam1__YED__26374__20260410_221416_315338.jpg,cam1,YED,15.18,2
cam2__YED__57799__20260410_221513_825055.jpg,cam2,YED,14.94,2
cam1__YED__57799__20260410_221513_702623.jpg,cam1,YED,14.94,2
cam1__YED__26375__20260410_221607_582010.jpg,cam1,YED,15.18,2
cam2__YED__26375__20260410_221607_582010.jpg,cam2,YED,15.18,2
cam2__YCA__44915__20260410_221700_388450.jpg,cam2,YCA,13.18,2
cam1__YCA__44915__20260410_221700_098662.jpg,cam1,YCA,13.18,2
cam2__YED__26376__20260410_221751_415640.jpg,cam2,YED,15.06,2
cam1__YED__26376__20260410_221751_269917.jpg,cam1,YED,15.06,2
cam2__YED__57800__20260410_221849_573019.jpg,cam2,YED,14.94,2
cam1__YED__57800__20260410_221849_599484.jpg,cam1,YED,15.18,2
cam1__YED__26377__20260410_221943_008857.jpg,cam1,YED,15.06,2
cam2__YED__26377__20260410_221943_069229.jpg,cam2,YED,14.94,2
cam2__YCA__44916__20260410_222036_442412.jpg,cam2,YCA,12.71,1
cam1__YCA__44916__20260410_222036_429200.jpg,cam1,YCA,13.18,2
cam2__YED__26378__20260410_222128_558364.jpg,cam2,YED,14.94,2
cam1__YED__26378__20260410_222127_941318.jpg,cam1,YED,15.18,2
cam2__YCA__44917__20260410_222224_975298.jpg,cam2,YCA,13.06,2
cam1__YCA__44917__20260410_222224_383768.jpg,cam1,YCA,12.94,2
cam1__YED__26379__20260410_222314_763886.jpg,cam1,YED,14.94,2
cam2__YED__26379__20260410_222314_728742.jpg,cam2,YED,15.06,2
cam2__YED__57801__20260410_222410_063998.jpg,cam2,YED,15.18,2
cam1__YED__57801__20260410_222410_214527.jpg,cam1,YED,15.18,2
cam1__YED__26380__20260410_222503_994292.jpg,cam1,YED,15.18,2
cam2__YED__26380__20260410_222503_482835.jpg,cam2,YED,14.94,2
cam2__YCA__44918__20260410_222555_004540.jpg,cam2,YCA,13.06,2
cam2__YED__26381__20260410_222647_773227.jpg,cam2,YED,15.18,2
cam2__YCA__44919__20260410_222742_101659.jpg,cam2,YCA,12.71,1
cam1__YCA__44918__20260410_222555_569886.jpg,cam1,YCA,N/A,0
cam2__YED__26382__20260410_222833_343446.jpg,cam2,YED,15.18,2
cam1__YED__26382__20260410_222833_485310.jpg,cam1,YED,15.18,2
cam2__YCA__44920__20260410_222928_342206.jpg,cam2,YCA,13.06,2
cam1__YCA__44920__20260410_222928_343206.jpg,cam1,YCA,12.71,1
cam1__YED__26383__20260410_223019_769433.jpg,cam1,YED,15.06,2
cam2__YED__26383__20260410_223019_774721.jpg,cam2,YED,14.94,2
cam2__YED__57802__20260410_223114_340758.jpg,cam2,YED,14.94,2
cam1__YED__57802__20260410_223113_701090.jpg,cam1,YED,15.18,2
cam2__YCA__5672__20260410_223206_213518.jpg,cam2,YCA,12.94,2
cam1__YCA__5672__20260410_223206_164731.jpg,cam1,YCA,12.94,2
cam2__YED__57803__20260410_223314_918567.jpg,cam2,YED,14.71,1
cam1__YED__57803__20260410_223315_052524.jpg,cam1,YED,15.18,2
cam2__YED__26384__20260410_223409_044496.jpg,cam2,YED,15.18,2
cam1__YED__26384__20260410_223409_159003.jpg,cam1,YED,15.06,2
cam1__YCA__44921__20260410_223508_369320.jpg,cam1,YCA,13.18,2
cam2__YCA__44921__20260410_223508_310331.jpg,cam2,YCA,12.71,1
cam2__YED__26385__20260410_223600_082137.jpg,cam2,YED,15.18,2
cam1__YED__26385__20260410_223600_452803.jpg,cam1,YED,15.18,2
cam2__YED__57804__20260410_223702_844989.jpg,cam2,YED,15.18,2
cam1__YED__57804__20260410_223702_890468.jpg,cam1,YED,15.18,2
cam2__YED__26386__20260410_223755_140792.jpg,cam2,YED,15.18,2
cam1__YED__26386__20260410_223755_118300.jpg,cam1,YED,14.94,2
cam1__YCA__44922__20260410_223847_380708.jpg,cam1,YCA,12.94,2
cam2__YCA__44922__20260410_223847_209369.jpg,cam2,YCA,13.18,2
cam2__YED__26387__20260410_223943_710333.jpg,cam2,YED,15.06,2
cam1__YED__26387__20260410_223943_832667.jpg,cam1,YED,15.18,2
cam2__YED__57805__20260410_224115_664213.jpg,cam2,YED,15.18,2
cam1__YED__57805__20260410_224115_429319.jpg,cam1,YED,15.18,2
cam2__YCA__5673__20260410_224210_475545.jpg,cam2,YCA,13.06,2
cam2__YED__57806__20260410_224327_896966.jpg,cam2,YED,15.18,2
cam1__YCA__5673__20260410_224210_504846.jpg,cam1,YCA,N/A,0
cam2__YED__26388__20260410_224422_655082.jpg,cam2,YED,15.18,2
cam1__YED__26388__20260410_224422_946077.jpg,cam1,YED,14.94,2
cam1__YCA__44923__20260410_224514_279827.jpg,cam1,YCA,13.18,2
cam2__YCA__44923__20260410_224514_476712.jpg,cam2,YCA,12.71,1
cam2__YED__26389__20260410_224614_873649.jpg,cam2,YED,15.18,2
cam1__YED__26389__20260410_224615_357711.jpg,cam1,YED,15.18,2
cam2__YCA__44924__20260410_224712_657692.jpg,cam2,YCA,13.06,2
cam1__YCA__44924__20260410_224712_931986.jpg,cam1,YCA,13.18,2
cam2__YED__26390__20260410_224805_178349.jpg,cam2,YED,15.06,2
cam1__YED__26390__20260410_224805_135585.jpg,cam1,YED,15.06,2
cam2__YED__57807__20260410_224900_290007.jpg,cam2,YED,14.71,1
cam1__YED__57807__20260410_224900_256859.jpg,cam1,YED,15.06,2
cam2__YED__26391__20260410_224953_274788.jpg,cam2,YED,15.18,2
cam1__YED__26391__20260410_224953_047405.jpg,cam1,YED,15.06,2
cam2__YCA__44925__20260410_225045_167481.jpg,cam2,YCA,13.18,2
cam1__YCA__44925__20260410_225045_197387.jpg,cam1,YCA,13.06,2
cam1__YED__26392__20260410_225136_288088.jpg,cam1,YED,15.18,2
cam2__YED__26392__20260410_225136_870527.jpg,cam2,YED,15.18,2
cam2__YCA__44926__20260410_225230_932649.jpg,cam2,YCA,13.06,2
cam1__YCA__44926__20260410_225230_906350.jpg,cam1,YCA,13.18,2
cam2__YED__26393__20260410_225322_830742.jpg,cam2,YED,15.06,2
cam1__YED__26393__20260410_225322_783599.jpg,cam1,YED,14.94,2
cam2__YCA__44927__20260410_225417_863265.jpg,cam2,YCA,13.06,2
cam1__YCA__44927__20260410_225417_804255.jpg,cam1,YCA,13.06,2
cam2__YED__26394__20260410_225508_482941.jpg,cam2,YED,15.18,2
cam1__YED__26394__20260410_225508_734335.jpg,cam1,YED,15.18,2
cam2__YED__57808__20260410_225606_598001.jpg,cam2,YED,15.06,2
cam1__YED__57808__20260410_225607_176015.jpg,cam1,YED,15.18,2
cam2__YED__26395__20260410_225700_227703.jpg,cam2,YED,15.06,2
cam1__YED__26395__20260410_225700_006467.jpg,cam1,YED,15.18,2
cam2__YCA__44928__20260410_225751_482155.jpg,cam2,YCA,13.18,2
cam1__YCA__44928__20260410_225751_445905.jpg,cam1,YCA,13.06,2
cam2__YED__26396__20260410_225843_326633.jpg,cam2,YED,14.94,2
cam1__YED__26396__20260410_225843_294231.jpg,cam1,YED,15.06,2
cam1__YED__57809__20260410_225940_670949.jpg,cam1,YED,15.18,2
cam2__YED__57809__20260410_225940_328021.jpg,cam2,YED,15.06,2
cam2__YED__26397__20260410_230034_040597.jpg,cam2,YED,15.18,2
cam1__YED__26397__20260410_230034_044019.jpg,cam1,YED,15.18,2
cam2__YCA__44929__20260410_230127_126277.jpg,cam2,YCA,13.06,2
cam2__YED__26398__20260410_230217_824463.jpg,cam2,YED,14.94,2
cam2__YCA__44930__20260410_230316_306154.jpg,cam2,YCA,12.71,1
cam1__YCA__44929__20260410_230127_001437.jpg,cam1,YCA,N/A,0
cam2__YED__26399__20260410_230428_740046.jpg,cam2,YED,15.18,2
cam1__YED__26399__20260410_230429_230974.jpg,cam1,YED,15.18,2
cam1__YED__57810__20260410_230531_225704.jpg,cam1,YED,15.18,2
cam2__YED__57810__20260410_230531_253258.jpg,cam2,YED,15.18,2
cam2__YED__26400__20260410_230622_617945.jpg,cam2,YED,15.18,2
cam1__YED__26400__20260410_230623_119840.jpg,cam1,YED,15.18,2
cam2__YCA__44931__20260410_230716_365358.jpg,cam2,YCA,13.18,2
cam2__YED__26401__20260410_230806_604105.jpg,cam2,YED,15.18,2
cam2__YCA__44932__20260410_230903_004988.jpg,cam2,YCA,12.94,2
cam1__YCA__44931__20260410_230716_315920.jpg,cam1,YCA,N/A,0
cam2__YED__26402__20260410_230957_413043.jpg,cam2,YED,15.18,2
cam1__YED__26402__20260410_230957_389351.jpg,cam1,YED,15.18,2
cam2__YCA__44933__20260410_231051_899794.jpg,cam2,YCA,12.94,2
cam2__YED__26403__20260410_231143_385128.jpg,cam2,YED,15.06,2
cam2__YED__57811__20260410_231240_906958.jpg,cam2,YED,15.18,2
cam1__YCA__44933__20260410_231051_885789.jpg,cam1,YCA,N/A,0
cam2__YCA__5674__20260410_231333_210547.jpg,cam2,YCA,13.18,2
cam2__YED__57812__20260410_231424_624359.jpg,cam2,YED,14.71,1
cam2__YED__26404__20260410_231519_168358.jpg,cam2,YED,15.06,2
cam1__YCA__5674__20260410_231333_643100.jpg,cam1,YCA,N/A,0
cam2__YCA__44934__20260410_231611_797126.jpg,cam2,YCA,12.71,1
cam1__YCA__44934__20260410_231611_777853.jpg,cam1,YCA,13.18,2
cam2__YED__26405__20260410_231703_300360.jpg,cam2,YED,15.06,2
cam1__YED__26405__20260410_231703_039133.jpg,cam1,YED,15.18,2
cam2__YED__57813__20260410_231757_321511.jpg,cam2,YED,15.18,2
cam1__YED__57813__20260410_231757_382572.jpg,cam1,YED,14.71,1
cam2__YED__26406__20260410_231851_147834.jpg,cam2,YED,15.18,2
cam1__YED__26406__20260410_231850_910380.jpg,cam1,YED,15.18,2
cam2__YCA__44935__20260410_231943_304157.jpg,cam2,YCA,13.06,2
cam1__YCA__44935__20260410_231943_288251.jpg,cam1,YCA,13.06,2
cam2__YED__26407__20260410_232034_673575.jpg,cam2,YED,15.06,2
cam1__YED__26407__20260410_232034_483148.jpg,cam1,YED,15.18,2
cam2__YED__57814__20260410_232129_100818.jpg,cam2,YED,15.18,2
cam1__YED__57814__20260410_232129_058951.jpg,cam1,YED,15.06,2
cam2__YCA__5675__20260410_232222_314992.jpg,cam2,YCA,13.06,2
cam1__YCA__5675__20260410_232222_291172.jpg,cam1,YCA,12.94,2
cam2__YED__57815__20260410_232323_998523.jpg,cam2,YED,14.94,2
cam1__YED__57815__20260410_232323_936398.jpg,cam1,YED,15.18,2
cam2__YED__26408__20260410_232418_582455.jpg,cam2,YED,15.18,2
cam1__YED__26408__20260410_232418_507970.jpg,cam1,YED,15.18,2
cam1__YCA__44936__20260410_232511_785877.jpg,cam1,YCA,13.06,2
cam2__YCA__44936__20260410_232511_848823.jpg,cam2,YCA,13.18,2
cam1__YED__26409__20260410_232616_375994.jpg,cam1,YED,15.06,2
cam2__YED__26409__20260410_232616_378218.jpg,cam2,YED,14.94,2
cam2__YCA__44937__20260410_232711_205002.jpg,cam2,YCA,12.94,2
cam2__YED__26410__20260410_232802_774816.jpg,cam2,YED,15.18,2
cam2__YED__57816__20260410_232944_616360.jpg,cam2,YED,14.71,1
cam2__YED__26411__20260410_233038_724461.jpg,cam2,YED,14.94,2
cam1__YCA__44937__20260410_232711_195979.jpg,cam1,YCA,N/A,0
cam2__YCA__44938__20260410_233131_023081.jpg,cam2,YCA,12.71,1
cam2__YED__26412__20260410_233222_449224.jpg,cam2,YED,14.94,2
cam2__YCA__5676__20260410_233318_294427.jpg,cam2,YCA,12.71,1
cam2__YED__26413__20260410_233413_581585.jpg,cam2,YED,15.18,2
cam1__YCA__44938__20260410_233131_023939.jpg,cam1,YCA,N/A,0
cam2__YCA__5677__20260410_233650_990692.jpg,cam2,YCA,13.18,2
cam1__YCA__5677__20260410_233650_976431.jpg,cam1,YCA,12.94,2
cam1__YED__26414__20260410_233809_494529.jpg,cam1,YED,15.06,2
cam2__YED__26414__20260410_233809_712333.jpg,cam2,YED,15.18,2
cam2__YED__57817__20260410_233914_974559.jpg,cam2,YED,15.18,2
cam1__YED__57817__20260410_233914_938548.jpg,cam1,YED,14.94,2
cam1__YED__26415__20260410_234008_295436.jpg,cam1,YED,15.18,2
cam2__YED__26415__20260410_234008_345871.jpg,cam2,YED,15.18,2
cam1__YCA__5678__20260410_234108_628220.jpg,cam1,YCA,13.18,2
cam2__YCA__5678__20260410_234108_669923.jpg,cam2,YCA,12.71,1
cam2__YED__26416__20260410_234227_274483.jpg,cam2,YED,15.06,2
cam1__YED__26416__20260410_234227_492300.jpg,cam1,YED,14.94,2
cam1__YED__57818__20260410_234757_933799.jpg,cam1,YED,14.71,1
cam2__YED__57818__20260410_234757_951640.jpg,cam2,YED,15.18,2
cam2__YED__26417__20260410_234852_630000.jpg,cam2,YED,15.18,2
cam1__YED__26417__20260410_234852_590699.jpg,cam1,YED,14.94,2
cam2__YCA__5679__20260410_234944_845403.jpg,cam2,YCA,12.71,1
cam1__YCA__5679__20260410_234944_900382.jpg,cam1,YCA,12.94,2
cam2__YED__26418__20260411_000603_309679.jpg,cam2,YED,15.18,2
cam1__YED__26418__20260411_000603_053158.jpg,cam1,YED,14.94,2
cam2__YCA__5680__20260411_000657_781928.jpg,cam2,YCA,12.71,1
cam1__YCA__5680__20260411_000657_746555.jpg,cam1,YCA,12.94,2
cam2__YED__26419__20260411_001604_241315.jpg,cam2,YED,15.18,2
cam1__YED__26419__20260411_001603_992672.jpg,cam1,YED,15.18,2
cam2__YED__57819__20260411_001913_744374.jpg,cam2,YED,15.06,2
cam1__YED__57819__20260411_001913_708075.jpg,cam1,YED,14.94,2
cam2__YED__26420__20260411_002214_298567.jpg,cam2,YED,15.06,2
cam1__YED__26420__20260411_002214_245808.jpg,cam1,YED,15.06,2
cam1__YED__57820__20260411_002633_115119.jpg,cam1,YED,14.71,1
cam2__YED__57820__20260411_002633_327879.jpg,cam2,YED,15.06,2
cam2__YED__26421__20260411_003018_037778.jpg,cam2,YED,15.18,2
cam1__YED__26421__20260411_003017_993677.jpg,cam1,YED,15.06,2
cam2__YED__57821__20260411_003257_446945.jpg,cam2,YED,15.18,2
cam1__YED__57821__20260411_003257_173013.jpg,cam1,YED,15.06,2
cam2__YCA__5681__20260411_003806_683153.jpg,cam2,YCA,12.71,1
cam1__YCA__5681__20260411_003806_652627.jpg,cam1,YCA,13.18,2
cam2__None__5301__20260411_044925_030750.jpg,cam2,NONE,12.94,2
cam1__None__5301__20260411_044924_982977.jpg,cam1,NONE,13.06,2
cam2__YCA__5682__20260411_051552_538041.jpg,cam2,YCA,13.18,2
cam1__YCA__5682__20260411_051552_408492.jpg,cam1,YCA,N/A,0
cam2__YED__26422__20260411_052256_943405.jpg,cam2,YED,14.94,2
cam1__YED__26422__20260411_052257_106789.jpg,cam1,YED,14.71,1
cam2__YCA__44939__20260411_052538_338493.jpg,cam2,YCA,13.06,2
cam1__YCA__44939__20260411_052538_268108.jpg,cam1,YCA,N/A,0
cam2__YED__26423__20260411_052746_444583.jpg,cam2,YED,15.18,2
cam1__YED__57822__20260411_053033_648631.jpg,cam1,YED,15.06,2
cam2__YED__57822__20260411_053033_905312.jpg,cam2,YED,15.18,2
cam2__YED__26424__20260411_053400_534880.jpg,cam2,YED,14.94,2
cam1__YED__26424__20260411_053400_460922.jpg,cam1,YED,15.06,2
cam1__YED__57823__20260411_053634_931130.jpg,cam1,YED,15.18,2
cam2__YED__57823__20260411_053634_523419.jpg,cam2,YED,14.94,2
cam2__YED__26425__20260411_063129_595668.jpg,cam2,YED,15.18,2
cam1__YED__26425__20260411_063129_684786.jpg,cam1,YED,15.18,2
cam1__YCA__44940__20260411_063220_930760.jpg,cam1,YCA,13.18,2
cam2__YCA__44940__20260411_063221_174114.jpg,cam2,YCA,12.94,2
cam1__YED__26426__20260411_063324_515151.jpg,cam1,YED,15.18,2
cam2__YED__26426__20260411_063324_566882.jpg,cam2,YED,14.94,2
cam1__YED__57824__20260411_063421_765442.jpg,cam1,YED,15.18,2
cam2__YED__57824__20260411_063421_644437.jpg,cam2,YED,15.18,2
cam2__YED__26427__20260411_063541_409773.jpg,cam2,YED,15.18,2
cam1__YED__26427__20260411_063541_353691.jpg,cam1,YED,15.06,2
cam1__YCA__44941__20260411_063634_940821.jpg,cam1,YCA,13.18,2
cam2__YCA__44941__20260411_063635_175918.jpg,cam2,YCA,12.71,1
cam2__YED__26428__20260411_063726_161980.jpg,cam2,YED,15.18,2
cam1__YED__26428__20260411_063726_077989.jpg,cam1,YED,15.06,2
cam1__YED__57825__20260411_063822_817005.jpg,cam1,YED,15.18,2
cam2__YED__57825__20260411_063822_916483.jpg,cam2,YED,15.06,2
cam2__YCA__5683__20260411_063916_047821.jpg,cam2,YCA,13.18,2
cam2__YED__57826__20260411_064007_490644.jpg,cam2,YED,14.94,2
cam2__YED__26429__20260411_064103_145492.jpg,cam2,YED,15.18,2
cam1__YCA__5683__20260411_063916_195003.jpg,cam1,YCA,N/A,0
cam1__YCA__44942__20260411_064200_615491.jpg,cam1,YCA,13.06,2
cam2__YCA__44942__20260411_064200_427745.jpg,cam2,YCA,13.18,2
cam2__YED__26430__20260411_064251_924280.jpg,cam2,YED,15.18,2
cam1__YED__26430__20260411_064252_147114.jpg,cam1,YED,15.18,2
cam1__YCA__44943__20260411_064352_523277.jpg,cam1,YCA,13.18,2
cam2__YCA__44943__20260411_064352_567934.jpg,cam2,YCA,12.71,1
cam2__YED__26431__20260411_064443_701775.jpg,cam2,YED,15.18,2
cam1__YED__26431__20260411_064443_937685.jpg,cam1,YED,15.06,2
cam1__YED__57827__20260411_064622_582315.jpg,cam1,YED,14.71,1
cam2__YED__57827__20260411_064622_625982.jpg,cam2,YED,15.18,2
cam2__YED__26432__20260411_064719_167190.jpg,cam2,YED,15.06,2
cam1__YED__26432__20260411_064718_946246.jpg,cam1,YED,15.18,2
cam2__YCA__44944__20260411_064811_333998.jpg,cam2,YCA,12.94,2
cam1__YCA__44944__20260411_064811_439236.jpg,cam1,YCA,13.18,2
cam2__YED__26433__20260411_064902_662795.jpg,cam2,YED,15.06,2
cam1__YED__26433__20260411_064902_828983.jpg,cam1,YED,15.18,2
cam2__YCA__44945__20260411_065004_978384.jpg,cam2,YCA,12.94,2
cam2__YED__26434__20260411_065056_830627.jpg,cam2,YED,14.94,2
cam2__YCA__44946__20260411_065152_384165.jpg,cam2,YCA,13.18,2
cam1__YCA__44945__20260411_065004_526574.jpg,cam1,YCA,N/A,0
cam1__YED__26435__20260411_065244_029711.jpg,cam1,YED,15.06,2
cam2__YED__26435__20260411_065244_065916.jpg,cam2,YED,15.18,2
cam2__YED__57828__20260411_065340_155587.jpg,cam2,YED,14.94,2
cam1__YED__57828__20260411_065340_318850.jpg,cam1,YED,15.18,2
cam2__YED__26436__20260411_065433_499768.jpg,cam2,YED,15.06,2
cam1__YED__26436__20260411_065433_968371.jpg,cam1,YED,15.06,2
cam2__YCA__44947__20260411_065526_184177.jpg,cam2,YCA,13.18,2
cam1__YCA__44947__20260411_065525_654193.jpg,cam1,YCA,13.18,2
cam2__YED__26437__20260411_065617_543929.jpg,cam2,YED,15.18,2
cam1__YED__26437__20260411_065617_656450.jpg,cam1,YED,15.18,2
cam2__YED__57829__20260411_065712_796827.jpg,cam2,YED,14.94,2
cam1__YED__57829__20260411_065712_832552.jpg,cam1,YED,15.06,2
cam1__YED__26438__20260411_065810_047746.jpg,cam1,YED,15.06,2
cam2__YED__26438__20260411_065810_549513.jpg,cam2,YED,15.06,2
cam1__YCA__44948__20260411_065902_821341.jpg,cam1,YCA,13.18,2
cam2__YCA__44948__20260411_065903_202340.jpg,cam2,YCA,12.94,2
cam2__YED__26439__20260411_065954_516896.jpg,cam2,YED,15.18,2
cam1__YED__26439__20260411_065954_230507.jpg,cam1,YED,15.18,2
cam2__YCA__44949__20260411_070048_650604.jpg,cam2,YCA,12.59,1
cam2__YED__26440__20260411_070140_212759.jpg,cam2,YED,15.18,2
cam2__YED__57830__20260411_070237_596178.jpg,cam2,YED,15.06,2
cam1__YCA__44949__20260411_070048_948479.jpg,cam1,YCA,N/A,0
cam2__YED__26441__20260411_070330_999141.jpg,cam2,YED,15.18,2
cam1__YED__26441__20260411_070330_926022.jpg,cam1,YED,15.18,2
cam1__YCA__44950__20260411_070426_506713.jpg,cam1,YCA,13.18,2
cam2__YCA__44950__20260411_070426_539063.jpg,cam2,YCA,13.18,2
cam1__YED__26442__20260411_070517_782804.jpg,cam1,YED,15.18,2
cam2__YED__26442__20260411_070518_365814.jpg,cam2,YED,15.06,2
cam1__YCA__44951__20260411_070612_587688.jpg,cam1,YCA,13.06,2
cam2__YCA__44951__20260411_070612_433961.jpg,cam2,YCA,13.18,2
cam1__YED__26443__20260411_070704_302836.jpg,cam1,YED,14.94,2
cam2__YED__26443__20260411_070703_856430.jpg,cam2,YED,15.06,2
cam2__YCA__44952__20260411_070759_259284.jpg,cam2,YCA,13.06,2
cam1__YCA__44952__20260411_070759_221203.jpg,cam1,YCA,13.18,2
cam1__YED__26444__20260411_070850_226390.jpg,cam1,YED,15.18,2
cam2__YED__26444__20260411_070850_292049.jpg,cam2,YED,15.18,2
cam2__YED__57831__20260411_070946_422230.jpg,cam2,YED,15.18,2
cam1__YED__57831__20260411_070946_053539.jpg,cam1,YED,15.18,2
cam2__YED__26445__20260411_071039_532653.jpg,cam2,YED,15.18,2
cam1__YED__26445__20260411_071039_559484.jpg,cam1,YED,15.18,2
cam2__YED__57832__20260411_071135_029865.jpg,cam2,YED,14.71,1
cam1__YED__57832__20260411_071134_991807.jpg,cam1,YED,15.06,2
cam2__YED__26446__20260411_071300_610533.jpg,cam2,YED,15.06,2
cam1__YED__26446__20260411_071300_603517.jpg,cam1,YED,15.06,2
cam2__YCA__44953__20260411_071354_032113.jpg,cam2,YCA,12.71,1
cam1__YCA__44953__20260411_071353_953123.jpg,cam1,YCA,13.06,2
cam2__YED__26447__20260411_071445_294629.jpg,cam2,YED,15.18,2
cam1__YED__26447__20260411_071445_851289.jpg,cam1,YED,15.18,2
cam1__YED__57833__20260411_071539_816383.jpg,cam1,YED,15.06,2
cam2__YED__57833__20260411_071539_856956.jpg,cam2,YED,15.06,2
cam1__YED__26448__20260411_071636_196872.jpg,cam1,YED,15.06,2
cam2__YED__26448__20260411_071636_765317.jpg,cam2,YED,15.06,2
cam2__YCA__44954__20260411_071730_818603.jpg,cam2,YCA,13.06,2
cam2__YED__26449__20260411_071822_386256.jpg,cam2,YED,15.18,2
cam2__YED__57834__20260411_071928_897484.jpg,cam2,YED,15.18,2
cam1__YCA__44954__20260411_071730_796611.jpg,cam1,YCA,N/A,0
cam1__YCA__5684__20260411_072022_353257.jpg,cam1,YCA,13.06,2
cam2__YCA__5684__20260411_072022_320534.jpg,cam2,YCA,12.71,1
cam2__YED__57835__20260411_072113_601571.jpg,cam2,YED,15.18,2
cam1__YED__57835__20260411_072113_592112.jpg,cam1,YED,15.18,2
cam2__YED__26450__20260411_072213_026112.jpg,cam2,YED,15.18,2
cam1__YED__26450__20260411_072212_948369.jpg,cam1,YED,15.06,2
cam2__YCA__44955__20260411_072305_635199.jpg,cam2,YCA,13.18,2
cam1__YCA__44955__20260411_072305_425677.jpg,cam1,YCA,12.94,2
cam1__YED__26451__20260411_072356_960172.jpg,cam1,YED,15.18,2
cam2__YED__26451__20260411_072357_276777.jpg,cam2,YED,15.18,2
cam1__YCA__44956__20260411_072506_913921.jpg,cam1,YCA,13.18,2
cam2__YCA__44956__20260411_072506_420128.jpg,cam2,YCA,13.18,2
cam2__YED__26452__20260411_072629_224983.jpg,cam2,YED,15.06,2
cam1__YED__26452__20260411_072629_200127.jpg,cam1,YED,15.18,2
cam2__YED__57836__20260411_072723_895896.jpg,cam2,YED,14.94,2
cam1__YED__57836__20260411_072724_221767.jpg,cam1,YED,15.18,2
cam2__YED__26453__20260411_072827_003049.jpg,cam2,YED,14.94,2
cam1__YED__26453__20260411_072826_934604.jpg,cam1,YED,15.18,2
cam1__YCA__44957__20260411_072921_199336.jpg,cam1,YCA,13.06,2
cam2__YCA__44957__20260411_072920_946106.jpg,cam2,YCA,12.71,1
cam2__YED__26454__20260411_073012_764592.jpg,cam2,YED,14.71,1
cam1__YED__26454__20260411_073012_838492.jpg,cam1,YED,14.71,1
cam2__YCA__44958__20260411_073111_350227.jpg,cam2,YCA,12.94,2
cam1__YCA__44958__20260411_073111_491514.jpg,cam1,YCA,13.18,2
cam2__YED__26455__20260411_073202_081684.jpg,cam2,YED,14.94,2
cam1__YED__26455__20260411_073201_781814.jpg,cam1,YED,15.18,2
cam2__YCA__44959__20260411_073257_051179.jpg,cam2,YCA,13.18,2
cam2__YED__26456__20260411_073348_213035.jpg,cam2,YED,15.18,2
cam2__YED__57837__20260411_073443_419180.jpg,cam2,YED,15.06,2
cam1__YCA__44959__20260411_073257_010173.jpg,cam1,YCA,N/A,0
cam2__YED__26457__20260411_073537_532810.jpg,cam2,YED,14.94,2
cam1__YED__26457__20260411_073537_445966.jpg,cam1,YED,15.18,2
cam1__YCA__44960__20260411_073630_529668.jpg,cam1,YCA,13.06,2
cam2__YCA__44960__20260411_073630_298163.jpg,cam2,YCA,13.18,2
cam2__YED__26458__20260411_073721_908485.jpg,cam2,YED,15.18,2
cam1__YED__26458__20260411_073721_805190.jpg,cam1,YED,15.18,2
cam2__YED__57838__20260411_073816_271604.jpg,cam2,YED,15.06,2
cam1__YED__57838__20260411_073815_962831.jpg,cam1,YED,15.18,2
cam1__YED__26459__20260411_073909_332782.jpg,cam1,YED,15.18,2
cam2__YED__26459__20260411_073909_626437.jpg,cam2,YED,14.94,2
cam2__YCA__44961__20260411_074007_824926.jpg,cam2,YCA,12.94,2
cam1__YCA__44961__20260411_074007_783375.jpg,cam1,YCA,13.06,2
cam2__YED__26460__20260411_074101_587485.jpg,cam2,YED,15.18,2
cam1__YED__26460__20260411_074101_605309.jpg,cam1,YED,14.94,2
cam2__YCA__44962__20260411_074155_817843.jpg,cam2,YCA,13.18,2
cam1__YCA__44962__20260411_074155_781367.jpg,cam1,YCA,12.94,2
cam2__YED__26461__20260411_074247_097320.jpg,cam2,YED,15.18,2
cam1__YED__26461__20260411_074247_074187.jpg,cam1,YED,15.18,2
cam2__YED__57839__20260411_074341_423409.jpg,cam2,YED,15.18,2
cam1__YED__57839__20260411_074341_867566.jpg,cam1,YED,15.18,2
cam2__YED__26462__20260411_074434_770233.jpg,cam2,YED,15.18,2
cam1__YED__26462__20260411_074434_992292.jpg,cam1,YED,15.18,2
cam2__YCA__44963__20260411_074543_584696.jpg,cam2,YCA,12.94,2
cam1__YCA__44963__20260411_074544_011959.jpg,cam1,YCA,13.06,2
cam2__YED__26463__20260411_074634_951288.jpg,cam2,YED,15.18,2
cam1__YED__26463__20260411_074634_914660.jpg,cam1,YED,15.06,2
cam1__YCA__44964__20260411_074729_542684.jpg,cam1,YCA,13.06,2
cam2__YCA__44964__20260411_074729_579060.jpg,cam2,YCA,12.94,2
cam2__YED__26464__20260411_074820_659815.jpg,cam2,YED,15.06,2
cam1__YED__26464__20260411_074821_161020.jpg,cam1,YED,15.18,2
cam2__YCA__44965__20260411_074916_160741.jpg,cam2,YCA,13.06,2
cam2__YED__26465__20260411_075007_941013.jpg,cam2,YED,14.71,1
cam2__YED__57840__20260411_075102_648470.jpg,cam2,YED,15.06,2
cam1__YCA__44965__20260411_074916_106864.jpg,cam1,YCA,N/A,0
