timestamp,camera,handle_condition
2025-07-30 22:06:53.457953,cam1,0
2025-07-30 22:06:54.305890,cam1,0
2025-07-30 22:06:54.891283,cam1,0
2025-07-30 22:06:55.644207,cam1,0
2025-07-30 22:06:56.229695,cam1,0
2025-07-30 22:06:56.931718,cam1,0
2025-07-30 22:06:57.518941,cam1,0
2025-07-30 22:06:58.251542,cam1,0
2025-07-30 22:06:58.841562,cam1,0
2025-07-30 22:06:59.575847,cam1,0
2025-07-30 22:07:00.166678,cam1,0
2025-07-30 22:07:00.905960,cam1,0
2025-07-30 22:07:01.496639,cam1,0
2025-07-30 22:07:02.225714,cam1,0
2025-07-30 22:07:02.816305,cam1,0
2025-07-30 22:07:03.553949,cam1,0
2025-07-30 22:07:04.147401,cam1,0
2025-07-30 22:07:04.873512,cam1,0
2025-07-30 22:07:05.464700,cam1,0
2025-07-30 22:07:06.209808,cam1,0
2025-07-30 22:07:06.797102,cam1,0
2025-07-30 22:07:07.632392,cam1,0
2025-07-30 22:07:08.220472,cam1,0
2025-07-30 22:07:08.810670,cam1,0
2025-07-30 22:07:09.398307,cam1,0
2025-07-30 22:07:10.109100,cam1,0
2025-07-30 22:07:10.697473,cam1,0
2025-07-30 22:07:11.418832,cam1,0
2025-07-30 22:07:12.010711,cam1,0
2025-07-30 22:07:12.721869,cam1,0
2025-07-30 22:07:13.308440,cam1,0
2025-07-30 22:07:14.044896,cam1,0
2025-07-30 22:07:14.632889,cam1,0
2025-07-30 22:07:15.353002,cam1,0
2025-07-30 22:07:15.939726,cam1,0
2025-07-30 22:07:16.687112,cam1,0
2025-07-30 22:07:17.268118,cam1,0
2025-07-30 22:07:17.999821,cam1,0
2025-07-30 22:07:18.587652,cam1,0
2025-07-30 22:07:19.297528,cam1,0
2025-07-30 22:07:19.887499,cam1,0
2025-07-30 22:07:20.607681,cam1,0
2025-07-30 22:07:21.195195,cam1,0
2025-07-30 22:07:21.906931,cam1,0
2025-07-30 22:07:22.493679,cam1,0
2025-07-30 22:07:23.231663,cam1,0
2025-07-30 22:07:23.827925,cam1,0
2025-07-30 22:07:24.554287,cam1,0
2025-07-30 22:07:25.143458,cam1,0
2025-07-30 22:07:25.874970,cam1,0
2025-07-30 22:07:26.466328,cam1,0
2025-07-30 22:07:27.188402,cam1,0
2025-07-30 22:07:27.778757,cam1,0
2025-07-30 22:07:28.517690,cam1,0
2025-07-30 22:07:29.103521,cam1,0
2025-07-30 22:07:29.831781,cam1,0
2025-07-30 22:07:30.418626,cam1,0
2025-07-30 22:07:31.146433,cam1,0
2025-07-30 22:07:31.732534,cam1,0
2025-07-30 22:07:32.421108,cam1,0
2025-07-30 22:07:33.009217,cam1,0
2025-07-30 22:07:33.710850,cam1,0
2025-07-30 22:07:34.293511,cam1,0
2025-07-30 22:07:35.007254,cam1,0
2025-07-30 22:07:35.595409,cam1,0
2025-07-30 22:07:36.288105,cam1,0
2025-07-30 22:07:36.876659,cam1,0
2025-07-30 22:07:37.589557,cam1,0
2025-07-30 22:07:38.154830,cam1,0
2025-07-30 22:07:38.907575,cam1,0
2025-07-30 22:07:39.495936,cam1,0
2025-07-30 22:07:40.230892,cam1,0
2025-07-30 22:07:40.794521,cam1,0
2025-07-30 22:07:41.524781,cam1,0
2025-07-30 22:07:42.097649,cam1,0
2025-07-30 22:07:42.836527,cam1,0
2025-07-30 22:07:43.427975,cam1,0
2025-07-30 22:07:44.145715,cam1,0
2025-07-30 22:07:44.731736,cam1,0
2025-07-30 22:07:45.453286,cam1,0
2025-07-30 22:07:46.040618,cam1,0
2025-07-30 22:07:46.767960,cam1,0
2025-07-30 22:07:47.353595,cam1,0
2025-07-30 22:07:48.072615,cam1,0
2025-07-30 22:07:48.660524,cam1,0
2025-07-30 22:07:49.373524,cam1,0
2025-07-30 22:07:49.962974,cam1,0
2025-07-30 22:07:50.681114,cam1,0
2025-07-30 22:07:51.260393,cam1,0
2025-07-30 22:07:52.006825,cam1,0
2025-07-30 22:07:52.594456,cam1,0
2025-07-30 22:07:53.314108,cam1,0
2025-07-30 22:07:53.908265,cam1,0
2025-07-30 22:07:54.630085,cam1,0
2025-07-30 22:07:55.195476,cam1,0
2025-07-30 22:07:55.967460,cam1,0
2025-07-30 22:07:56.552812,cam1,0
2025-07-30 22:07:57.316435,cam1,0
2025-07-30 22:07:57.905017,cam1,0
2025-07-30 22:07:58.635669,cam1,0
2025-07-30 22:07:59.224749,cam1,0
2025-07-30 22:07:59.935649,cam1,0
2025-07-30 22:08:00.524284,cam1,0
2025-07-30 22:08:01.272866,cam1,0
2025-07-30 22:08:01.862451,cam1,0
2025-07-30 22:08:02.593446,cam1,0
2025-07-30 22:08:03.182034,cam1,0
2025-07-30 22:08:03.904413,cam1,0
2025-07-30 22:08:04.490093,cam1,0
2025-07-30 22:08:05.227010,cam1,0
2025-07-30 22:08:05.814620,cam1,0
2025-07-30 22:08:06.532121,cam1,0
2025-07-30 22:08:07.109551,cam1,0
2025-07-30 22:08:07.847030,cam1,0
2025-07-30 22:08:08.434475,cam1,0
2025-07-30 22:08:09.163774,cam1,0
2025-07-30 22:08:09.748133,cam1,0
2025-07-30 22:08:10.480254,cam1,0
2025-07-30 22:08:11.070016,cam1,0
2025-07-30 22:08:11.797981,cam1,0
2025-07-30 22:08:12.388238,cam1,0
2025-07-30 22:08:13.116658,cam1,0
2025-07-30 22:08:13.703716,cam1,0
2025-07-30 22:08:14.426349,cam1,0
2025-07-30 22:08:15.010541,cam1,0
2025-07-30 22:08:15.747552,cam1,0
2025-07-30 22:08:16.333807,cam1,0
2025-07-30 22:08:17.073214,cam1,0
2025-07-30 22:08:17.661262,cam1,0
2025-07-30 22:08:18.401798,cam1,0
2025-07-30 22:08:18.992727,cam1,0
2025-07-30 22:08:19.707394,cam1,0
2025-07-30 22:08:20.294939,cam1,0
2025-07-30 22:08:21.011515,cam1,0
2025-07-30 22:08:21.596023,cam1,0
2025-07-30 22:08:22.320435,cam1,0
2025-07-30 22:08:22.907769,cam1,0
2025-07-30 22:08:23.649992,cam1,0
2025-07-30 22:08:24.246498,cam1,0
2025-07-30 22:08:24.970433,cam1,0
2025-07-30 22:08:25.559602,cam1,0
2025-07-30 22:08:26.296497,cam1,0
2025-07-30 22:08:26.887202,cam1,0
2025-07-30 22:08:27.622052,cam1,0
2025-07-30 22:08:28.210707,cam1,0
2025-07-30 22:08:28.951444,cam1,0
2025-07-30 22:08:29.541937,cam1,0
2025-07-30 22:08:30.274074,cam1,0
2025-07-30 22:08:30.860262,cam1,0
2025-07-30 22:08:31.607908,cam1,0
2025-07-30 22:08:32.195212,cam1,0
2025-07-30 22:08:32.929118,cam1,0
2025-07-30 22:08:33.517397,cam1,0
2025-07-30 22:08:34.245235,cam1,0
2025-07-30 22:08:34.830260,cam1,0
2025-07-30 22:08:35.579055,cam1,0
2025-07-30 22:08:36.148210,cam1,0
2025-07-30 22:08:36.906586,cam1,0
2025-07-30 22:08:37.495965,cam1,0
2025-07-30 22:08:38.253251,cam1,0
2025-07-30 22:08:38.834458,cam1,0
2025-07-30 22:08:39.579398,cam1,0
2025-07-30 22:08:40.161355,cam1,0
2025-07-30 22:08:40.904170,cam1,0
2025-07-30 22:08:41.493887,cam1,0
2025-07-30 22:08:42.248704,cam1,0
2025-07-30 22:08:42.837664,cam1,0
2025-07-30 22:08:43.577101,cam1,0
2025-07-30 22:08:44.151945,cam1,0
2025-07-30 22:08:44.896659,cam1,0
2025-07-30 22:08:45.487530,cam1,0
2025-07-30 22:08:46.225145,cam1,0
2025-07-30 22:08:46.814169,cam1,0
2025-07-30 22:08:47.574117,cam1,0
2025-07-30 22:08:48.151276,cam1,0
2025-07-30 22:08:48.905481,cam1,0
2025-07-30 22:08:49.496292,cam1,0
2025-07-30 22:08:50.227804,cam1,0
2025-07-30 22:08:50.815227,cam1,0
2025-07-30 22:08:51.563009,cam1,0
2025-07-30 22:08:52.146726,cam1,0
2025-07-30 22:08:52.919267,cam1,0
2025-07-30 22:08:53.508444,cam1,0
2025-07-30 22:08:54.253056,cam1,0
2025-07-30 22:08:54.846599,cam1,0
2025-07-30 22:08:55.595224,cam1,0
2025-07-30 22:08:56.167882,cam1,0
2025-07-30 22:08:56.928094,cam1,0
2025-07-30 22:08:57.511582,cam1,0
2025-07-30 22:08:58.249821,cam1,0
2025-07-30 22:08:58.838027,cam1,0
2025-07-30 22:08:59.585795,cam1,0
2025-07-30 22:09:00.156295,cam1,0
2025-07-30 22:09:00.908759,cam1,0
2025-07-30 22:09:01.492258,cam1,0
2025-07-30 22:09:02.230425,cam1,0
2025-07-30 22:09:02.799296,cam1,0
2025-07-30 22:09:03.580098,cam1,0
2025-07-30 22:09:04.160685,cam1,0
2025-07-30 22:09:04.881744,cam1,0
2025-07-30 22:09:05.472778,cam1,0
2025-07-30 22:09:06.206070,cam1,0
2025-07-30 22:09:06.795115,cam1,0
2025-07-30 22:09:07.521588,cam1,0
2025-07-30 22:09:08.112004,cam1,0
2025-07-30 22:09:08.857313,cam1,0
2025-07-30 22:09:09.444148,cam1,0
2025-07-30 22:09:10.207870,cam1,0
2025-07-30 22:09:10.794928,cam1,0
2025-07-30 22:09:11.519410,cam1,0
2025-07-30 22:09:12.090869,cam1,0
2025-07-30 22:09:12.865413,cam1,0
2025-07-30 22:09:13.452216,cam1,0
2025-07-30 22:09:14.214991,cam1,0
2025-07-30 22:09:14.801475,cam1,0
2025-07-30 22:09:15.547570,cam1,0
2025-07-30 22:09:16.115788,cam1,0
2025-07-30 22:09:16.906810,cam1,0
2025-07-30 22:09:17.497857,cam1,0
2025-07-30 22:09:18.244519,cam1,0
2025-07-30 22:09:18.826876,cam1,0
2025-07-30 22:09:19.537508,cam1,0
2025-07-30 22:09:20.123180,cam1,0
2025-07-30 22:09:20.941540,cam1,0
2025-07-30 22:09:21.526043,cam1,0
2025-07-30 22:09:22.284398,cam1,0
2025-07-30 22:09:22.874569,cam1,0
2025-07-30 22:09:23.603236,cam1,0
2025-07-30 22:09:24.182892,cam1,0
2025-07-30 22:09:24.915664,cam1,0
2025-07-30 22:09:25.510888,cam1,0
2025-07-30 22:09:26.223829,cam1,0
2025-07-30 22:09:26.793367,cam1,0
2025-07-30 22:09:27.534728,cam1,0
2025-07-30 22:09:28.122812,cam1,0
2025-07-30 22:09:28.848450,cam1,0
2025-07-30 22:09:29.418037,cam1,0
2025-07-30 22:09:30.171087,cam1,0
2025-07-30 22:09:30.760974,cam1,0
2025-07-30 22:09:31.502098,cam1,0
2025-07-30 22:09:32.089969,cam1,0
2025-07-30 22:09:32.828904,cam1,0
2025-07-30 22:09:33.415464,cam1,0
2025-07-30 22:09:34.156025,cam1,0
2025-07-30 22:09:34.744890,cam1,0
2025-07-30 22:09:35.477620,cam1,0
2025-07-30 22:09:36.065780,cam1,0
2025-07-30 22:09:36.786286,cam1,0
2025-07-30 22:09:37.371250,cam1,0
2025-07-30 22:09:38.116614,cam1,0
2025-07-30 22:09:38.702969,cam1,0
2025-07-30 22:09:39.436337,cam1,0
2025-07-30 22:09:40.006364,cam1,0
2025-07-30 22:09:40.775539,cam1,0
2025-07-30 22:09:41.364467,cam1,0
2025-07-30 22:09:42.092797,cam1,0
2025-07-30 22:09:42.681576,cam1,0
2025-07-30 22:09:43.407038,cam1,0
2025-07-30 22:09:43.995276,cam1,0
2025-07-30 22:09:44.710084,cam1,0
2025-07-30 22:09:45.300391,cam1,0
2025-07-30 22:09:45.997978,cam1,1
2025-07-30 22:09:46.621334,cam1,1
2025-07-30 22:09:47.271778,cam1,1
2025-07-30 22:09:47.885058,cam1,1
2025-07-30 22:09:48.490642,cam1,1
2025-07-30 22:09:49.097837,cam1,1
2025-07-30 22:09:49.704439,cam1,1
2025-07-30 22:09:50.308945,cam1,1
2025-07-30 22:09:50.915552,cam1,1
2025-07-30 22:09:51.525078,cam1,1
2025-07-30 22:09:52.097347,cam1,1
2025-07-30 22:09:52.666079,cam1,1
2025-07-30 22:09:53.239568,cam1,1
2025-07-30 22:09:53.808848,cam1,1
2025-07-30 22:09:54.400945,cam1,1
2025-07-30 22:09:55.056467,cam1,1
2025-07-30 22:09:55.630795,cam1,1
2025-07-30 22:09:56.202364,cam1,1
2025-07-30 22:09:56.771576,cam1,0
2025-07-30 22:09:57.340699,cam1,0
2025-07-30 22:09:57.910698,cam1,0
2025-07-30 22:09:58.478746,cam1,0
2025-07-30 22:09:59.048604,cam1,0
2025-07-30 22:09:59.618179,cam1,0
2025-07-30 22:10:00.189762,cam1,0
2025-07-30 22:10:00.757553,cam1,0
2025-07-30 22:10:01.326174,cam1,0
2025-07-30 22:10:01.893701,cam1,0
2025-07-30 22:10:02.463652,cam1,0
2025-07-30 22:10:03.031142,cam1,0
2025-07-30 22:10:03.598992,cam1,0
2025-07-30 22:10:04.166681,cam1,0
2025-07-30 22:10:04.735076,cam1,0
2025-07-30 22:10:05.304911,cam1,0
2025-07-30 22:10:05.877011,cam1,0
2025-07-30 22:10:06.449302,cam1,0
2025-07-30 22:10:07.018993,cam1,0
2025-07-30 22:10:07.587498,cam1,0
2025-07-30 22:10:08.159148,cam1,0
2025-07-30 22:10:08.727965,cam1,0
2025-07-30 22:10:09.296082,cam1,0
2025-07-30 22:10:09.867561,cam1,0
2025-07-30 22:10:10.440275,cam1,0
2025-07-30 22:10:11.008953,cam1,0
2025-07-30 22:10:11.579755,cam1,0
2025-07-30 22:10:12.150531,cam1,0
2025-07-30 22:10:12.721372,cam1,0
2025-07-30 22:10:13.293594,cam1,0
2025-07-30 22:10:13.865646,cam1,0
2025-07-30 22:10:14.432366,cam1,0
2025-07-30 22:10:15.004034,cam1,0
2025-07-30 22:10:15.571291,cam1,0
2025-07-30 22:10:16.142643,cam1,0
2025-07-30 22:10:16.714142,cam1,0
2025-07-30 22:10:17.286099,cam1,0
